main_i,main_j,a_ij,b_ij,c_ij
20,4,29.747,0.0,0.0
20,5,1525.8,-4.9155,0.0
20,6,1075.5,-3.4339,0.0
20,7,624.97,-4.6878,0.00524
20,8,281.08,0.0,0.0
20,9,178.22,-0.9168,0.0
20,10,-188.0,0.0,0.0
20,11,59.594,-0.712,0.0
20,13,-310.82,0.0,0.0
20,18,-2617.7,4.614,0.0
20,21,27.618,0.0,0.0
20,22,94.606,0.0,0.0
20,24,701.95,-1.7576,0.0
20,25,-1398.7,0.0,0.0
20,32,146.06,0.0,0.0
20,33,-18.328,0.0,0.0
20,37,-447.95,1.5141,0.0
20,39,-421.21,0.0,0.0
20,42,1060.0,-2.822,0.0
20,43,720.45,-1.5187,0.0
20,44,-65.631,0.0,0.0
20,45,508.72,-1.4005,0.0
20,47,-369.3104,0.0,0.0
20,48,-400.859,0.0,0.0
21,1,-65.685,0.0741,0.0
21,2,-359.6,1.238,0.0
21,3,-58.972,0.1046,0.0
21,4,113.07,-0.5957,0.0
21,5,2177.0,-4.363,0.0
21,6,1831.2,-2.9694,0.0
21,7,313.3,-0.5041,0.0
21,9,55.27,0.0,0.0
21,10,-888.3,3.426,0.0
21,11,48.852,0.0,0.0
21,13,872.0,-2.939,0.00127
21,17,-338.0,3.372,-0.00368
21,18,-1592.8499,2.8397,0.0
21,19,-368.7,1.992,0.0
21,20,702.4,0.0,0.0
21,22,70.79,0.0,0.0
21,23,592.4,-4.2459,0.00691
21,24,16.34,0.0729,0.0
21,25,3985.0,-15.7,0.0
21,26,24.44,-0.4713,0.0
21,27,1248.0,-2.04,0.0
21,28,295.9,0.0,0.0
21,30,666.0,0.0,0.0
21,33,128.8,-0.2077,0.0
21,37,280.0,0.0,0.0
21,39,-70.4491,0.0,0.0
21,42,-31.42,-0.248,0.0
21,43,-325.77,2.0412,0.0
21,44,530.3,0.0,0.0
21,45,207.12,-0.4396,0.0
22,1,311.55,-1.1856,0.0
22,2,55.881,0.0,0.0
22,3,-142.2,0.3966,0.0
22,4,-75.01,-0.4268,0.0
22,5,2389.0,-4.509,0.0
